Date,Log_Return_AGG,Log_Return_Infrastructure,Log_Return_SP500,Log_Return_Gold
30/09/2006,0.001699066,0,0.0242694,-0.045479141
31/10/2006,0.006767542,0,0.0310218,0.014977814
30/11/2006,-0.015997142,0,0.0163325,0.067383825
31/12/2006,0.00271753,0.124604163,0.0125368,-0.020435935
31/01/2007,0.009503398,0,0.0139612,0.02838756
28/02/2007,-0.003290953,0,-0.0220883,0.024813292
31/03/2007,0.001596966,0.020794039,0.0099305,-0.007981918
30/04/2007,-0.012241774,0,0.0423798,0.025138911
31/05/2007,-0.007702481,0,0.0320307,-0.02785405
30/06/2007,0.004669111,0.021640497,-0.0179769,-0.017676651
31/07/2007,0.008068627,0,-0.0325045,0.021596155
31/08/2007,0.001505646,0,0.0127816,0.011890213
30/09/2007,0.00440353,0.027869972,0.0351683,0.100217967
31/10/2007,0.016047893,0,0.0147136,0.061423385
30/11/2007,-0.002262778,0,-0.0450428,-0.010106554
31/12/2007,0.016120715,0.067224796,-0.0086659,0.066122425
31/01/2008,-0.000193855,0,-0.0631139,0.098875381
29/02/2008,-0.003301294,0,-0.0353797,0.050406167
31/03/2008,-0.007516997,-0.022722945,-0.0059774,-0.040327664
30/04/2008,-0.016998136,0,0.0464509,-0.069441124
31/05/2008,0.000597848,0,0.0106176,0.020988741
30/06/2008,-0.005894417,0.031837242,-0.0898836,0.037886247
31/07/2008,0.005595538,0,-0.0099083,-0.005979254
31/08/2008,-0.010819581,0,0.0121168,-0.094263949
30/09/2008,-0.033908498,0.038073482,-0.0951808,0.050238341
31/10/2008,0.035719911,0,-0.1856365,-0.186134652
30/11/2008,0.025511334,0,-0.0777983,0.109244255
31/12/2008,-0.01113696,-0.050424527,0.0077911,0.05918675
31/01/2009,-0.008160061,0,-0.0895499,0.06711219
28/02/2009,0.007961825,0,-0.1164565,0.031965583
31/03/2009,-0.000198275,-0.082593237,0.0819527,-0.038439506
30/04/2009,0.005142416,0,0.0897722,-0.035668466
31/05/2009,0.000887355,0,0.0517206,0.082267867
30/06/2009,0.012438337,-0.050023319,0.0001958,-0.022921677
31/07/2009,0.006596842,0,0.071522,-0.004005667
31/08/2009,0.007993494,0,0.0330093,0.014820595
30/09/2009,0.001437815,0.026440921,0.0351001,0.055135101
31/10/2009,0.010955099,0,-0.0199599,0.042975363
30/11/2009,-0.022806661,0,0.055779,0.118590018
31/12/2009,0.013861036,0.054293082,0.0176145,-0.071896195
31/01/2010,-0.001052078,0,-0.0376751,-0.016698872
28/02/2010,-0.003835096,0,0.0281147,0.025329405
31/03/2010,0.006892618,0.021156724,0.0571328,0.006896113
30/04/2010,0.005707778,0,0.0146515,0.058193478
31/05/2010,0.017023689,0,-0.0855317,0.019431125
30/06/2010,0.006321486,0.028716864,-0.0553884,0.033232167
31/07/2010,0.008213788,0,0.0665158,-0.056382537
31/08/2010,-0.003867764,0,-0.0486118,0.059072599
30/09/2010,0.000645667,0.017481086,0.0839285,0.042753728
31/10/2010,-0.00786859,0,0.036193,0.034682415
30/11/2010,-0.019804486,0,-0.0022929,0.027653286
31/12/2010,0.004445503,0.025957947,0.0632565,0.023156368
31/01/2011,-0.001038667,0,0.022393,-0.062184778
28/02/2011,-0.006920443,0,0.0314566,0.060363181
31/03/2011,0.01040986,0.031420014,-0.0010479,0.015483203
30/04/2011,0.009743379,0,0.0280969,0.066403349
31/05/2011,-0.006453747,0,-0.0135929,0.001496471
30/06/2011,0.012124752,0.015029308,-0.0184262,-0.017921815
31/07/2011,0.011338094,0,-0.0217084,0.071995195
31/08/2011,0.007214973,0,-0.0584675,0.117835046
30/09/2011,0.000454897,0.015154994,-0.0744671,-0.121395295
31/10/2011,-0.008036573,0,0.1023066,0.063789148
30/11/2011,0.007490672,0,-0.0050715,0.012391375
31/12/2011,0.00942036,-0.006707214,0.0084966,-0.103259324
